date,real_price,random_walk_constante,rf_recursivo_desde_2009,xgboost_recursivo_desde_2009,rf_recursivo_desde_2018,xgboost_recursivo_desde_2018,rf_recursivo_desde_2024,xgboost_recursivo_desde_2024
2025-02-19,2931.4517,2613.165,2635.888680464583,2713.9047992011997,2648.437182623811,2727.0289012413805,2844.723598063135,2760.62973682132
2025-02-20,2926.1133,2613.165,2636.542341830604,2717.167848780432,2649.48942234183,2731.181564851893,2850.853879511993,2764.9658623635264
2025-02-21,2942.4833,2613.165,2637.196165294966,2720.4348216706658,2650.542080120897,2734.322782052374,2856.6000630307585,2769.19310568981
2025-02-24,2939.2083,2613.165,2637.850150897866,2723.7057225890744,2651.59515612711,2738.588903031147,2862.6188448269068,2777.086120497159
2025-02-25,2943.4967,2613.165,2638.5042986795133,2726.9805562585025,2652.648650526633,2741.7386396425663,2868.9310053375125,2784.3878577429196
2025-02-26,2901.705,2613.165,2639.158608680125,2730.259327407473,2653.7025634856964,2746.016330925273,2875.584528300191,2789.706954239064
2025-02-27,2914.1183,2613.165,2639.813080939929,2733.5420407701945,2654.7568951705966,2749.174610053439,2882.0632961581664,2793.820043754038
2025-02-28,2880.4683,2613.165,2640.4677154991637,2736.8287010865674,2655.811645747696,2753.463903020327,2888.274043371324,2799.0309331417143
2025-03-03,2846.808,2613.165,2641.1225123980767,2740.1193131021914,2656.866815383422,2756.6307478337144,2894.095651004381,2806.989307974149
2025-03-04,2890.8183,2613.165,2641.7774716769254,2743.413881568372,2657.9224042442697,2759.3046961687805,2900.1934350260253,2810.011588599209
2025-03-05,2913.6083,2613.165,2642.4325933759783,2746.712411242127,2658.9784124967996,2761.1796242579417,2906.5884486362975,2813.9214691493708
2025-03-06,2918.5417,2613.165,2643.0878775355127,2750.0149068861942,2660.0348403076387,2763.759237551984,2913.329305404926,2817.569104377472
2025-03-07,2918.2833,2613.165,2643.7433241958165,2753.321373269038,2661.0916878434796,2766.237808578798,2919.893113242184,2824.276300308586
2025-03-10,2908.195,2613.165,2644.3989333971876,2756.6318151648557,2662.148955271082,2768.238470045474,2926.1853824091936,2829.5971905742986
2025-03-11,2888.9033,2613.165,2645.054705179934,2759.946237353585,2663.206642757271,2770.721058099434,2932.083404169653,2834.6015850959357
2025-03-12,2918.1567,2613.165,2645.710639584373,2763.2646446209105,2664.264750468938,2772.909597333949,2938.2612273960103,2836.0262172020925
2025-03-13,2938.17,2613.165,2646.3667366508325,2766.0237561044064,2665.323278573042,2776.5513392098155,2944.740181631545,2844.070508675971
2025-03-14,2980.215,2613.165,2647.0229964196506,2769.349470645373,2666.382227236607,2780.2435406082936,2951.569518545244,2842.4885497867867
2025-03-17,2988.7683,2613.165,2647.679418931175,2772.679183842238,2667.4415966267234,2783.7553819717577,2958.219482592253,2846.6137223547626
2025-03-18,2998.21,2613.165,2648.336004225763,2776.0129005027657,2668.5013869105487,2787.149870521251,2964.5943437661585,2843.0226271793986
