date,real_price,random_walk_constante,rf_recursivo_desde_2009,rf_recursivo_desde_2018,rf_recursivo_desde_2024
2025-05-06,3319.845,2613.165,2670.0949049781802,2703.7116856129082,3184.400016747695
2025-05-07,3415.3283,2613.165,2670.757048981426,2704.7858862170756,3191.785164244922
2025-05-08,3388.0267,2613.165,2671.4193571865812,2705.8605136074807,3198.976340483409
2025-05-09,3308.3317,2613.165,2672.0818296343655,2706.935567953688,3205.8700244001006
2025-05-12,3338.5583,2613.165,2672.7444663655083,2708.0110494253295,3212.331778764258
2025-05-13,3224.875,2613.165,2673.407267420749,2709.086958192105,3219.100078003425
2025-05-14,3248.8517,2613.165,2674.0702328408383,2710.1632944237813,3226.198290337484
2025-05-15,3175.935,2613.165,2674.733362666536,2711.240058290193,3233.680374907304
2025-05-16,3224.0417,2613.165,2675.396656938612,2712.317249961241,3240.965942161451
2025-05-19,3188.5533,2613.165,2676.060115697847,2713.3948696068956,3247.9501122246306
2025-05-20,3232.2767,2613.165,2676.723738985031,2714.4729173971928,3254.4966832498117
2025-05-22,3287.3467,2613.165,2677.387526840965,2715.5513935022373,3261.3538228425296
2025-05-23,3295.2383,2613.165,2678.0514793064594,2716.6302980922014,3268.54520595274
2025-05-26,3364.225,2613.165,2678.715596422335,2717.7096313373245,3276.1254999862667
2025-05-27,3342.6233,2613.165,2679.379878229422,2718.789393407914,3283.506697227772
2025-05-28,3302.1167,2613.165,2680.044324768562,2719.8695844743443,3290.5825411540227
2025-05-29,3301.19,2613.165,2680.708936080606,2720.950204707058,3297.2150421394304
2025-05-30,3320.3267,2613.165,2681.373712206415,2722.031254276566,3304.1621881996875
2025-06-02,3294.02,2613.165,2682.0386531868608,2723.112733353446,3311.447965040946
2025-06-03,3375.2083,2613.165,2682.7037590628247,2724.1946421083435,3319.1277576306334
2025-06-04,3352.4967,2613.165,2683.369029875198,2725.2769807119726,3326.6058400938755
2025-06-05,3378.7533,2613.165,2684.034465664883,2726.3597493351144,3333.774561189688
2025-06-06,3353.5033,2613.165,2684.7000664727916,2727.4429481486186,3340.494120047635
2025-06-09,3317.6167,2613.165,2685.365832339846,2728.526577323402,3347.5324539957733
2025-06-10,3335.135,2613.165,2686.0317633069776,2729.6106370304497,3354.9138635754202
2025-06-11,3323.01,2613.165,2686.6978594151296,2730.6951274408148,3362.694460734285
2025-06-12,3342.3917,2613.165,2687.364120705254,2731.780048725618,3370.2707001297845
2025-06-13,3384.335,2613.165,2688.030547218314,2732.865401056049,3377.5335174961897
2025-06-16,3434.66,2613.165,2688.6971389952823,2733.9511846033643,3384.3412769439087
2025-06-17,3389.105,2613.165,2689.363896077142,2735.0373995388886,3391.4719957075326
2025-06-18,3388.6067,2613.165,2690.0308185048857,2736.1240460340155,3398.950293296056
2025-06-19,3386.5167,2613.165,2690.697906319517,2737.211124260206,3406.833018179775
2025-06-23,3370.7267,2613.165,2691.36515956205,2738.2986343889893,3414.5087029104616
2025-06-24,3381.4783,2613.165,2692.032578273507,2739.3865765919627,3421.8668516503494
2025-06-25,3317.6783,2613.165,2692.7001624949235,2740.4749510407923,3428.763969404322
2025-06-26,3329.745,2613.165,2693.3679122673425,2741.5637579072118,3435.9882856218483
2025-06-27,3333.775,2613.165,2694.0358276318184,2742.6529973630227,3443.5647429663527
2025-06-30,3273.63,2613.165,2694.7039086294153,2743.742669580096,3451.5509360982787
2025-07-01,3298.5117,2613.165,2695.3721553012083,2744.8327747303697,3459.3273714785932
2025-07-02,3337.785,2613.165,2696.040567688282,2745.923312985851,3466.782102906751
2025-07-03,3352.3617,2613.165,2696.709145831731,2747.0142845186156,3473.769751879586
2025-07-04,3329.12,2613.165,2697.3778897726606,2748.1056895008064,3481.0888941064613
2025-07-07,3337.4583,2613.165,2698.0467995521863,2749.197528104636,3488.7647996469404
2025-07-08,3331.728,2613.165,2698.7158752114333,2750.289800502385,3496.855819146067
2025-07-09,3304.6583,2613.165,2699.3851167915377,2751.3825068664014,3504.7343276239417
2025-07-10,3311.53,2613.165,2700.054524333645,2752.475647369103,3512.286909479851
2025-07-11,3318.9683,2613.165,2700.724097878912,2753.569222182976,3519.366277979749
2025-07-14,3356.5167,2613.165,2701.393837468504,2754.663231480574,3526.7814908973774
2025-07-15,3349.6,2613.165,2702.0637431435985,2755.7576754345205,3534.5581499858226
2025-07-17,3328.6433,2613.165,2702.7338149453817,2756.852554217507,3542.755371797745
2025-07-18,3337.595,2613.165,2703.4040529150507,2757.9478680022935,3550.737293179496
2025-07-21,3351.634,2613.165,2704.0744570938127,2759.043616961709,3558.389009842924
2025-07-22,3394.524,2613.165,2704.7450275228853,2760.139801268651,3565.561301775759
2025-07-23,3429.9967,2613.165,2705.4157642434957,2761.236421096085,3573.0738464031683
2025-07-24,3393.994,2613.165,2706.0866672968823,2762.3334766170465,3580.952581525555
2025-07-25,3370.8417,2613.165,2706.7577367242925,2763.430968004639,3589.25739965646
2025-07-28,3338.6317,2613.165,2707.428972566985,2764.528895432035,3597.3440913346353
2025-07-29,3313.435,2613.165,2708.1003748662283,2765.627259072475,3605.0962440440526
2025-07-30,3328.7983,2613.165,2708.771943663301,2766.72605909927,3612.362679118107
2025-07-31,3292.1717,2613.165,2709.4436789994925,2767.825295685798,3619.973833026398
2025-08-01,3295.1917,2613.165,2710.1155809161014,2768.9249690055076,3627.955984027586
2025-08-04,3348.86,2613.165,2710.7876494544375,2770.025079231915,3636.369810781316
2025-08-05,3375.696,2613.165,2711.4598846558206,2771.1256265386055,3644.562647965528
2025-08-06,3379.8383,2613.165,2712.1322865615807,2772.226611099234,3652.416555039395
2025-08-07,3371.2483,2613.165,2712.8048552130576,2773.3280330875245,3659.778368972779
2025-08-08,3390.554,2613.165,2713.4775906516024,2774.429892677269,3667.4894265023863
2025-08-11,3395.305,2613.165,2714.1504929185753,2775.532190042329,3675.576350813971
