Fecha,Precio,Return
2022-05-04,1867.61,0.0017095257952867882
2022-05-05,1871.32,0.0019845256357321566
2022-05-06,1874.79,0.001852588948239476
2022-05-09,1883.31,0.0045342138830540375
2022-05-10,1856.41,-0.014386351892492065
2022-05-11,1844.27,-0.006560979900253339
2022-05-12,1851.92,0.004139403506499265
2022-05-13,1822.52,-0.016002779969350855
2022-05-16,1810.26,-0.0067496774069461685
2022-05-17,1815.07,0.002653553095803747
2022-05-18,1815.05,-1.1018919484816015e-05
2022-05-19,1818.32,0.0017999823210312434
2022-05-20,1841.69,0.012770630470938196
2022-05-23,1841.64,-2.7149345838207163e-05
2022-05-24,1855.97,0.007750991447403086
2022-05-25,1866.13,0.005459297296675994
2022-05-26,1851.61,-0.007811236842051662
2022-05-27,1850.3,-0.0007077427893608921
2022-05-30,1853.83,0.0019059811986285953
2022-05-31,1855.35,0.0008195882028292815
2022-06-01,1841.53,-0.007476609669641455
2022-06-02,1847.79,0.003393582561405351
2022-06-03,1868.45,0.01111887975390633
2022-06-06,1849.56,-0.010161437188169928
2022-06-07,1842.31,-0.003927553960285384
2022-06-08,1852.73,0.005640008022321711
2022-06-09,1854.03,0.0007014212159941409
2022-06-10,1848.21,-0.0031440451155158493
2022-06-13,1873.97,0.013841572023199354
2022-06-14,1826.2,-0.025821869950102865
2022-06-15,1809.82,-0.009009912381412364
2022-06-16,1821.1,0.006213321300946611
2022-06-17,1848.48,0.01492296563293438
2022-06-20,1838.74,-0.005283125311076131
2022-06-22,1838.77,1.6315387314048054e-05
2022-06-23,1839.24,0.0002555729878702492
2022-06-24,1823.48,-0.008605679529067161
2022-06-28,1830.51,0.003847853263873883
2022-06-29,1818.86,-0.006384685343072458
2022-06-30,1818.51,-0.0001924467409585536
2022-07-01,1807.17,-0.006255398699189136
2022-07-04,1807.97,0.0004425831437004458
2022-07-05,1807.99,1.1062069270738522e-05
2022-07-06,1768.73,-0.02195395605625089
2022-07-07,1737.65,-0.017728149259225386
2022-07-08,1740.74,0.0017766845079627278
2022-07-11,1743.33,0.0014867671872807393
2022-07-12,1734.17,-0.005268164592498165
2022-07-13,1726.19,-0.004612245053352766
2022-07-14,1737.23,0.006375222983043038
2022-07-15,1710.72,-0.015377556169834303
2022-07-18,1704.43,-0.003683590537652309
2022-07-19,1709.92,0.0032158418037394007
2022-07-20,1711.14,0.0007132292632795768
2022-07-21,1701.62,-0.0055790765792827195
2022-07-22,1714.9,0.007774031401518024
2022-07-25,1721.7,0.003957404920325207
2022-07-26,1718.62,-0.0017905315917555896
2022-07-27,1717.26,-0.0007916458496957672
2022-07-28,1720.68,0.0019895641739729273
2022-07-29,1751.29,0.017633097703400803
2022-08-01,1766.21,0.008483348673271995
2022-08-02,1768.62,0.0013635735655836397
2022-08-03,1768.11,-0.00028840200045518195
2022-08-04,1763.18,-0.0027921825751907083
2022-08-05,1793.83,0.01723400193498888
2022-08-08,1774.04,-0.011093567286905387
2022-08-09,1788.2,0.007950095771575424
2022-08-10,1794.11,0.0032995499339035445
2022-08-11,1789.47,-0.002589590628912032
2022-08-12,1787.09,-0.0013308879768831536
2022-08-16,1801.0,0.007753467546630071
2022-08-17,1776.74,-0.013561841738624477
2022-08-18,1768.13,-0.00485773353113283
2022-08-19,1758.39,-0.005523873261183846
2022-08-22,1749.14,-0.00527437908947909
2022-08-23,1736.59,-0.0072008183240112955
2022-08-24,1747.05,0.006005230985245974
2022-08-25,1749.55,0.0014299607767529966
2022-08-26,1757.19,0.004357330220066211
