Fecha,Precio
2012-03-26,1664.0
2012-03-27,1680.25
2012-03-28,1692.0
2012-03-29,1676.0
2012-03-30,1657.5
2012-04-02,1662.5
2012-04-03,1677.5
2012-04-04,1676.25
2012-04-05,1621.0
2012-04-09,1631.0
2012-04-10,1631.0
2012-04-11,1644.0
2012-04-12,1658.0
2012-04-13,1668.5
2012-04-16,1666.5
2012-04-17,1653.0
2012-04-18,1635.5
2012-04-19,1644.0
2012-04-20,1650.0
2012-04-23,1641.5
2012-04-24,1629.0
2012-04-25,1649.5
2012-04-26,1637.75
2012-04-27,1653.5
2012-04-30,1663.5
2012-05-02,1651.25
2012-05-03,1648.0
2012-05-04,1637.75
2012-05-07,1643.75
2012-05-08,1643.75
2012-05-09,1602.5
2012-05-10,1582.5
2012-05-11,1598.5
2012-05-14,1583.0
2012-05-15,1558.5
2012-05-16,1556.5
2012-05-17,1548.5
2012-05-18,1554.0
2012-05-22,1589.5
2012-05-23,1582.5
2012-05-24,1549.0
2012-05-25,1568.5
2012-05-28,1569.5
2012-05-29,1574.6
2012-05-30,1579.5
2012-05-31,1540.0
2012-06-01,1558.0
2012-06-04,1606.0
2012-06-05,1606.0
2012-06-06,1606.0
2012-06-07,1635.0
2012-06-08,1606.0
2012-06-11,1576.5
2012-06-12,1584.0
2012-06-13,1603.5
2012-06-14,1619.5
2012-06-15,1613.5
2012-06-18,1627.25
2012-06-19,1615.5
2012-06-20,1625.5
2012-06-21,1601.0
2012-06-22,1582.0
2012-06-25,1565.5
2012-06-26,1570.0
2012-06-27,1576.0
2012-06-28,1573.5
2012-06-29,1558.5
2012-07-03,1598.5
2012-07-04,1617.5
2012-07-05,1613.5
2012-07-06,1604.0
2012-07-09,1587.0
2012-07-10,1585.0
2012-07-11,1595.25
2012-07-12,1577.0
2012-07-13,1556.25
2012-07-17,1595.5
2012-07-18,1585.25
2012-07-19,1575.25
2012-07-20,1584.0
2012-07-23,1576.25
2012-07-24,1572.25
2012-07-25,1583.25
2012-07-26,1601.0
2012-07-27,1618.0
2012-07-30,1618.25
2012-07-31,1617.75
2012-08-01,1622.0
2012-08-02,1599.0
2012-08-03,1597.0
2012-08-06,1602.0
2012-08-07,1610.0
2012-08-08,1611.0
2012-08-09,1613.25
2012-08-10,1615.0
2012-08-13,1618.5
2012-08-14,1622.5
2012-08-16,1597.75
2012-08-17,1604.5
2012-08-20,1614.75
2012-08-21,1615.0
2012-08-22,1639.5
2012-08-23,1642.0
2012-08-24,1665.25
2012-08-27,1667.0
2012-08-28,1667.0
2012-08-29,1668.0
2012-08-30,1660.0
2012-08-31,1660.5
2012-09-03,1648.5
2012-09-04,1691.5
2012-09-05,1697.0
2012-09-06,1690.0
2012-09-07,1701.0
2012-09-10,1728.0
2012-09-11,1732.0
2012-09-12,1736.75
2012-09-13,1737.0
2012-09-14,1733.25
2012-09-20,1775.5
2012-09-21,1758.5
2012-09-24,1784.5
2012-09-25,1762.5
2012-09-26,1771.5
2012-09-27,1744.75
2012-09-28,1763.0
2012-10-01,1776.0
2012-10-02,1787.0
2012-10-03,1775.5
2012-10-04,1775.25
2012-10-05,1791.75
2012-10-08,1784.0
2012-10-09,1773.5
2012-10-10,1774.0
2012-10-11,1761.25
2012-10-12,1769.0
2012-10-16,1766.75
2012-10-17,1746.5
2012-10-18,1749.0
2012-10-19,1743.0
2012-10-22,1737.0
2012-10-23,1726.75
2012-10-24,1711.0
2012-10-25,1706.5
2012-10-26,1715.5
